date,store_id,product_id,actual_units,actual_sales,holiday_flag,holiday_name,holiday_type,event_window,trading_status,closure_flag,reduced_trading_flag,disruption_flag,disruption_type
2025-01-01,S001,P001,360,864.0,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0,none
2025-01-01,S001,P002,126,604.8,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0,none
2025-01-01,S001,P003,99,643.5,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0,none
2025-01-01,S001,P004,94,488.8,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0,none
2025-01-01,S001,P005,204,1122.0,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0,none
2025-01-01,S001,P006,290,928.0,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0,none
2025-01-01,S001,P007,88,396.0,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0,none
2025-01-01,S001,P008,77,323.4,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0,none
2025-01-01,S001,P009,60,288.0,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0,none
2025-01-01,S001,P010,130,520.0,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0,none
2025-01-01,S001,P011,100,360.0,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0,none
2025-01-01,S001,P012,168,588.0,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0,none
2025-01-01,S001,P013,153,443.7,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0,none
2025-01-01,S001,P014,119,499.8,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0,none
2025-01-01,S001,P015,98,833.0,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0,none
2025-01-01,S001,P016,87,400.2,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0,none
2025-01-01,S001,P017,140,392.0,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0,none
2025-01-01,S001,P018,135,459.0,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0,none
2025-01-01,S001,P019,126,478.8,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0,none
2025-01-01,S001,P020,102,1122.0,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0,none
2025-01-01,S001,P021,147,1102.5,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0,none
2025-01-01,S001,P022,191,1146.0,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0,none
2025-01-01,S001,P023,119,571.2,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0,none
2025-01-01,S001,P024,57,712.5,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0,none
2025-01-01,S001,P025,67,388.6,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0,none
2025-01-01,S001,P026,76,349.6,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0,none
2025-01-01,S001,P027,203,1522.5,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0,none
2025-01-01,S001,P028,127,1460.5,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0,none
2025-01-01,S001,P029,58,493.0,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0,none
2025-01-01,S001,P030,166,630.8,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0,none
2025-01-01,S001,P031,177,460.2,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0,none
2025-01-01,S001,P032,194,543.2,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0,none
2025-01-01,S001,P033,157,706.5,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0,none
2025-01-01,S002,P001,339,813.6,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0,none
